Referência;MARCA;Impressora;Descrição;Capacidade;Família;Preço de Compra s/Imposto;PVD2;PVD3;Preço c/Imposto;PVD3
114MM600M-MEZCLA;TOSHIBA;TTR;TOSHIBA TEC B-472/B-SX4/B-482/B-572/B-SX5 MEZCLA CERA-RESINA ROLO DE TRANSFERENCIA TERMICA GENERICO;114mm x 600m;198;15,74   ;22,82   ;21,25   ;32,90   ;Si
AMR-3000BK;AMANO;Matricial;AMANO PIX200/3000/5000/TCX11/21/45 NEGRA FITA MATRICIAL GENERICA YK-629671/CE315151/CE315250/CE315251/CE316353;4 Mill;193;0,35   ;0,49   ;0,47   ;1,75   ;Si
BI-LC1000CY(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC1000/LC970 CYAN CARTUCHO DE TINTA GENERICO (Caixa Amarela);20 ml;181;0,24   ;0,34   ;0,32   ;3,90   ;Si
BI-LC1000MG(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC1000/LC970 MAGENTA CARTUCHO DE TINTA GENERICO (Caixa Amarela);20 ml;181;0,24   ;0,34   ;0,32   ;3,90   ;Si
BI-LC1000PK*5;BROTHER;Tinta (Ink-jet);BROTHER LC1000/LC970 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;2*25 ml y 3*12 ml;181;1,39   ;1,95   ;1,88   ;14,50   ;Si
BI-LC1000XLBK;BROTHER;Tinta (Ink-jet);BROTHER LC1000XL/LC970XL BLACK CARTUCHO DE TINTA GENERICO LC-1000BK/LC-970BK;36 ml;181;0,30   ;0,42   ;0,40   ;3,90   ;Si
BI-LC1000XLCY;BROTHER;Tinta (Ink-jet);BROTHER LC1000XL/LC970XL CYAN CARTUCHO DE TINTA GENERICO LC-1000C/LC-970C;26.6 ml;181;0,26   ;0,36   ;0,34   ;3,90   ;Si
BI-LC1000XLMG;BROTHER;Tinta (Ink-jet);BROTHER LC1000XL/LC970XL MAGENTA CARTUCHO DE TINTA GENERICO LC-1000M/LC-970M;26.6 ml;181;0,26   ;0,36   ;0,34   ;3,90   ;Si
BI-LC1000XLYL;BROTHER;Tinta (Ink-jet);BROTHER LC1000XL/LC970XL YELLOW CARTUCHO DE TINTA GENERICO LC-1000Y/LC-970Y;26.6 ml;181;0,26   ;0,36   ;0,34   ;3,90   ;Si
BI-LC1000YL(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC1000/LC970 YELLOW CARTUCHO DE TINTA GENERICO (Caixa Amarela);20 ml;181;0,24   ;0,34   ;0,32   ;3,90   ;Si
BI-LC123BK-V3;BROTHER;Tinta (Ink-jet);BROTHER LC121XL/LC123XL V3 BLACK CARTUCHO DE TINTA GENERICO LC121BK/LC123BK;20.6 ml;181;0,36   ;0,50   ;0,49   ;5,90   ;Si
BI-LC123CY-V3;BROTHER;Tinta (Ink-jet);BROTHER LC121XL/LC123XL V3 CYAN CARTUCHO DE TINTA GENERICO LC121C/LC123C;10 ml;181;0,31   ;0,43   ;0,41   ;5,90   ;Si
BI-LC123MG-V3;BROTHER;Tinta (Ink-jet);BROTHER LC121XL/LC123XL V3 MAGENTA CARTUCHO DE TINTA GENERICO LC121M/LC123M;10 ml;181;0,31   ;0,43   ;0,41   ;5,90   ;Si
BI-LC123YL-V3;BROTHER;Tinta (Ink-jet);BROTHER LC121XL/LC123XL V3 YELLOW CARTUCHO DE TINTA GENERICO LC121Y/LC123Y;10 ml;181;0,31   ;0,43   ;0,41   ;5,90   ;Si
BI-LC1240BK(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC1220/LC1240 BLACK CARTUCHO DE TINTA GENERICO (Caixa Amarela);28 ml;181;0,24   ;0,34   ;0,32   ;3,90   ;Si
BI-LC1240CY(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC1220/LC1240/LC1280 CYAN CARTUCHO DE TINTA GENERICO (Caixa Amarela);10 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC1240MG(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC1220/LC1240/LC1280 MAGENTA CARTUCHO DE TINTA GENERICO (Caixa Amarela);10 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC1240PK*5;BROTHER;Tinta (Ink-jet);BROTHER LC1220/LC1240 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;2*17.6 ml y 3*9.6 ml;181;1,36   ;1,91   ;1,84   ;14,50   ;Si
